iter	RMSE
0	14.48906053
1	14.02225494
2	13.60354732
3	13.15919147
4	12.75735
5	12.41433471
6	12.04332751
7	11.7159182
8	11.40918526
9	11.06317149
10	10.74512018
11	10.47284173
12	10.22645161
13	9.996941914
14	9.738907396
15	9.483581501
16	9.248762967
17	9.044423454
18	8.830480782
19	8.640430273
20	8.469232316
21	8.293038317
22	8.134457778
23	7.971516779
24	7.817057171
25	7.687055177
26	7.568147707
27	7.468289508
28	7.347085123
29	7.238066519
30	7.129730794
31	7.024393974
32	6.925199123
33	6.847811332
34	6.755863872
35	6.668564977
36	6.593058094
37	6.524365189
38	6.462115348
39	6.400842955
40	6.344499875
41	6.293484608
42	6.24087202
43	6.198546265
44	6.147335606
45	6.093775884
46	6.050513246
47	6.006693727
48	5.96089276
49	5.918196519
50	5.88272917
51	5.8511336
52	5.81584368
53	5.782817455
54	5.752000872
55	5.726572835
56	5.698917139
57	5.676518895
58	5.655940507
59	5.636103831
60	5.611404849
61	5.588301345
62	5.565889892
63	5.539865651
64	5.520455813
65	5.499997499
66	5.48268047
67	5.461563181
68	5.449566952
69	5.431414573
70	5.411391195
71	5.401950923
72	5.389055706
73	5.376409829
74	5.362883706
75	5.351001093
76	5.342058679
77	5.333472939
78	5.323751558
79	5.308601135
80	5.304390939
81	5.292213733
82	5.28120348
83	5.270115932
84	5.264979551
85	5.255314542
86	5.250781355
87	5.236993842
88	5.223666913
89	5.212780596
90	5.206345172
91	5.197603235
92	5.186533071
93	5.182185788
94	5.171870188
95	5.163542452
96	5.163119374
97	5.15256374
98	5.144877981
99	5.140240422
100	5.129971962
101	5.121855004
102	5.11334142
103	5.104138464
104	5.09976708
105	5.094168591
106	5.089045125
107	5.079200796
108	5.072248379
109	5.0652743
110	5.061189088
111	5.051910168
112	5.044075152
113	5.039775108
114	5.031587627
115	5.026941043
116	5.022746
117	5.016599316
118	5.008152585
119	5.004898074
120	4.998627337
121	4.994807853
122	4.989789709
123	4.983325442
124	4.978309514
125	4.973129018
126	4.971429647
127	4.967489337
128	4.965365253
129	4.962312215
130	4.956984939
131	4.953429416
132	4.945239304
133	4.938404554
134	4.932089676
135	4.928068645
136	4.922207553
137	4.91737021
138	4.910071973
139	4.900370311
140	4.895671161
141	4.890098002
142	4.887352734
143	4.880657277
144	4.877795884
145	4.871797273
146	4.867615812
147	4.865186241
148	4.859010581
149	4.854683211
150	4.847837606
151	4.846830944
152	4.843255543
153	4.839750373
154	4.834143945
155	4.825870346
156	4.823744293
157	4.819754416
158	4.817027034
159	4.813701569
160	4.811064063
161	4.804551623
162	4.80014012
163	4.795765075
164	4.79025872
165	4.785587743
166	4.778402121
167	4.77396725
168	4.770607643
169	4.766542314
170	4.763720652
171	4.755761465
172	4.753174532
173	4.749824782
174	4.746422974
175	4.745347927
176	4.737543063
177	4.734058001
178	4.730552418
179	4.7287257
180	4.722207409
181	4.716404156
182	4.713764395
183	4.711596985
184	4.707332593
185	4.705320035
186	4.701004581
187	4.699725063
188	4.697998263
189	4.692555934
190	4.692044496
191	4.688238875
192	4.68553754
193	4.684759613
194	4.681178888
195	4.676694684
196	4.672338415
197	4.67192808
198	4.666843806
199	4.662566473
